HCPC,SEQNUM,RECID,"LONG DESCRIPTION","SHORT DESCRIPTION",PRICE1,PRICE2,PRICE3,PRICE4,MULT_PI,CIM1,CIM2,CIM3,MCM1,MCM2,MCM3,STATUTE,LABCERT1,LABCERT2,LABCERT3,LABCERT4,LABCERT5,LABCERT6,LABCERT7,LABCERT8,XREF1,XREF2,XREF3,XREF4,XREF5,COV,ASC_GRP,ASC_DT,OPPS,OPPS_PI,OPPS_DT,PROCNOTE,BETOS,TOS1,TOS2,TOS3,TOS4,TOS5,ANEST_BU,"ADD DT","ACT EFF DT","TERM DT","ACTION CD"
"   XE",0010,7,"Separate encounter, a service that is distinct because it occurred during a separate encounter","Separate encounter",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20150101,20150101,,N
"   XP",0010,7,"Separate practitioner, a service that is distinct because it was performed by a different practitioner","Separate practitioner",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20150101,20150101,,N
"   XS",0010,7,"Separate structure, a service that is distinct because it was performed on a separate organ/structure","Separate organ/structure",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20150101,20150101,,N
"   XU",0010,7,"Unusual non-overlapping service, the use of a service that is distinct because it does not overlap usual components of the main service","Unusual separate service",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20150101,20150101,,N
"   ZA",0010,7,Novartis/sandoz,Novartis/sandoz,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20160101,20180401,20180331,N
"   ZB",0010,7,Pfizer/hospira,Pfizer/hospira,,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20160701,20180401,20180331,N
"   ZC",0010,7,"Merck/samsung bioepis","Merck/samsung bioepis",,,,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,20171001,20180401,20180331,N
A0021,0010,3,"Ambulance service, outside state per mile, transport (medicaid only)","Outside state ambulance serv",00,,,,9,,,,,,,,,,,,,,,,A0030,,,,,I,,,,,,,O1A,D,,,,,"  0",19850101,19960910,,N
A0080,0010,3,"Non-emergency transportation, per mile - vehicle provided by volunteer (individual or organization), with no vested interest","Noninterest escort in non er",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19820101,20030101,,N
A0090,0010,3,"Non-emergency transportation, per mile - vehicle provided by individual (family member, self, neighbor) with vested interest","Interest escort in non er",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19820101,20030101,,N
A0100,0010,3,"Non-emergency transportation; taxi","Nonemergency transport taxi",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19820101,20030101,,N
A0110,0010,3,"Non-emergency transportation and bus, intra or inter state carrier","Nonemergency transport bus",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19840101,19950101,,N
A0120,0010,3,"Non-emergency transportation: mini-bus, mountain area transports, or other transportation systems","Noner transport mini-bus",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19820101,20030101,,N
A0130,0010,3,"Non-emergency transportation: wheelchair van","Noner transport wheelch van",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19820101,,,N
A0140,0010,3,"Non-emergency transportation and air travel (private or commercial) intra or inter state","Nonemergency transport air",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19850101,19960910,,N
A0160,0010,3,"Non-emergency transportation: per mile - case worker or social worker","Noner transport case worker",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19840101,19950101,,N
A0170,0010,3,"Transportation ancillary: parking fees, tolls, other","Transport parking fees/tolls",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19820101,20030101,,N
A0180,0010,3,"Non-emergency transportation: ancillary: lodging-recipient","Noner transport lodgng recip",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19820101,,,N
A0190,0010,3,"Non-emergency transportation: ancillary: meals-recipient","Noner transport meals recip",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19840101,,,N
A0200,0010,3,"Non-emergency transportation: ancillary: lodging escort","Noner transport lodgng escrt",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19820101,,,N
A0210,0010,3,"Non-emergency transportation: ancillary: meals-escort","Noner transport meals escort",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19840101,,,N
A0225,0010,3,"Ambulance service, neonatal transport, base rate, emergency transport, one way","Neonatal emergency transport",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19850101,20030401,,N
A0380,0010,3,"Bls mileage (per mile)","Basic life support mileage",00,,,,9,,,,,,,,,,,,,,,,A0425,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20030101,,N
A0382,0010,3,"Bls routine disposable supplies","Basic support routine suppls",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0384,0010,3,"Bls specialized service disposable supplies; defibrillation (used by als ambulances and bls ambulances in jurisdictions where defibrillation is permitted in bls ambulances)","Bls defibrillation supplies",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0390,0010,3,"Als mileage (per mile)","Advanced life support mileag",00,,,,9,,,,,,,,,,,,,,,,A0425,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20030101,,N
A0392,0010,3,"Als specialized service disposable supplies; defibrillation (to be used only in jurisdictions where defibrillation cannot be performed in bls ambulances)","Als defibrillation supplies",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0394,0010,3,"Als specialized service disposable supplies; iv drug therapy","Als iv drug therapy supplies",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0396,0010,3,"Als specialized service disposable supplies; esophageal intubation","Als esophageal intub suppls",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0398,0010,3,"Als routine disposable supplies","Als routine disposble suppls",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0420,0010,3,"Ambulance waiting time (als or bls), one half (1/2) hour increments","Ambulance waiting 1/2 hr",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0422,0010,3,"Ambulance (als or bls) oxygen and oxygen supplies, life sustaining situation","Ambulance 02 life sustaining",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0424,0010,3,"Extra ambulance attendant, ground (als or bls) or air (fixed or rotary winged); (requires medical review)","Extra ambulance attendant",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",19950101,20140101,,N
A0425,0010,3,"Ground mileage, per statute mile","Ground mileage",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0426,0010,3,"Ambulance service, advanced life support, non-emergency transport, level 1 (als 1)","Als 1",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0427,0010,3,"Ambulance service, advanced life support, emergency transport, level 1 (als 1 - emergency)",Als1-emergency,52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0428,0010,3,"Ambulance service, basic life support, non-emergency transport, (bls)",Bls,52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0429,0010,3,"Ambulance service, basic life support, emergency transport (bls-emergency)",Bls-emergency,52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0430,0010,3,"Ambulance service, conventional air services, transport, one way (fixed wing)","Fixed wing air transport",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0431,0010,3,"Ambulance service, conventional air services, transport, one way (rotary wing)","Rotary wing air transport",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0432,0010,3,"Paramedic intercept (pi), rural area, transport furnished by a volunteer ambulance company which is prohibited by state law from billing third party payers","Pi volunteer ambulance co",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0433,0010,3,"Advanced life support, level 2 (als 2)","Als 2",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0434,0010,3,"Specialty care transport (sct)","Specialty care transport",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0435,0010,3,"Fixed wing air mileage, per statute mile","Fixed wing air mileage",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0436,0010,3,"Rotary wing air mileage, per statute mile","Rotary wing air mileage",52,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,O1A,D,,,,,"  0",20010101,20010101,,N
A0888,0010,3,"Noncovered ambulance mileage, per mile (e.g., for miles traveled beyond closest appropriate facility)","Noncovered ambulance mileage",00,,,,9,,,,2125,,,,,,,,,,,,,,,,,M,,,,,,,O1A,D,,,,,"  0",19950101,19950101,,N
A0998,0010,3,"Ambulance response and treatment, no transport","Ambulance response/treatment",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,O1A,D,,,,,"  0",20060101,20060101,,N
A0999,0010,3,"Unlisted ambulance service","Unlisted ambulance service",57,,,,A,,,,2120.1,2125,,,,,,,,,,,,,,,,D,,,,,,,O1A,D,,,,,"  0",19870101,19980101,,N
A2001,0010,3,"Innovamatrix ac, per square centimeter","Innovamatrix ac, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2002,0010,3,"Mirragen advanced wound matrix, per square centimeter","Mirragen adv wnd mat per sq",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2004,0010,3,"Xcellistem, 1 mg","Xcellistem, 1 mg",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2005,0010,3,"Microlyte matrix, per square centimeter","Microlyte matrix, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2006,0010,3,"Novosorb synpath dermal matrix, per square centimeter","Novosorb synpath per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2007,0010,3,"Restrata, per square centimeter","Restrata, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2008,0010,3,"Theragenesis, per square centimeter","Theragenesis, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2009,0010,3,"Symphony, per square centimeter","Symphony, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2010,0010,3,"Apis, per square centimeter","Apis, per square centimeter",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220101,20220101,,N
A2011,0010,3,"Supra sdrm, per square centimeter","Supra sdrm, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220401,20220401,,N
A2012,0010,3,"Suprathel, per square centimeter","Suprathel, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220401,20220401,,N
A2013,0010,3,"Innovamatrix fs, per square centimeter","Innovamatrix fs, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220401,20220401,,N
A2014,0010,3,"Omeza collagen matrix, per 100 mg","Omeza collag per 100 mg",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20221001,20221001,,N
A2015,0010,3,"Phoenix wound matrix, per square centimeter","Phoenix wnd mtrx, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20221001,20221001,,N
A2016,0010,3,"Permeaderm b, per square centimeter","Permeaderm b, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20221001,20221001,,N
A2017,0010,3,"Permeaderm glove, each","Permeaderm glove, each",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20221001,20221001,,N
A2018,0010,3,"Permeaderm c, per square centimeter","Permeaderm c, per sq cm",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20221001,20221001,,N
A4100,0010,3,"Skin substitute, fda cleared as a device, not otherwise specified","Skin sub fda clrd as dev nos",13,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P5A,1,,,,,"  0",20220401,20220401,,N
A4206,0010,3,"Syringe with needle, sterile, 1 cc or less, each","1 cc sterile syringe&needle",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,S,,,,,"  0",19850101,20080101,,N
A4207,0010,3,"Syringe with needle, sterile 2 cc, each","2 cc sterile syringe&needle",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,S,,,,,"  0",19850101,20070101,,N
A4208,0010,3,"Syringe with needle, sterile 3 cc, each","3 cc sterile syringe&needle",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,S,,,,,"  0",19850101,20070101,,N
A4209,0010,3,"Syringe with needle, sterile 5 cc or greater, each","5+ cc sterile syringe&needle",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,S,,,,,"  0",19850101,20070101,,N
A4210,0010,3,"Needle-free injection device, each","Nonneedle injection device",00,,,,9,60-9,,,,,,,,,,,,,,,,,,,,M,,,,,,,D1A,S,,,,,"  0",19890101,19960101,,N
A4211,0010,3,"Supplies for self-administered injections","Supp for self-adm injections",00,,,,9,,,,2049,,,,,,,,,,,,,,,,,D,,,,,,,D1A,S,,,,,"  0",19930101,19970101,,N
A4212,0010,3,"Non-coring needle or stylet with or without catheter","Non coring needle or stylet",57,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,S,,,,,"  0",19930101,20000101,,N
A4213,0010,3,"Syringe, sterile, 20 cc or greater, each","20+ cc syringe only",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,S,,,,,"  0",19850101,20070101,,N
A4215,0010,3,"Needle, sterile, any size, each","Sterile needle",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,L,S,,,,"  0",19850101,20070101,,N
A4216,0010,3,"Sterile water, saline and/or dextrose, diluent/flush, 10 ml","Sterile water/saline, 10 ml",37,,,,A,,,,2049,,,,,,,,,,,,,,,,,D,,,,,,,D1F,1,L,P,,,"  0",20040101,20070101,,N
A4217,0010,3,"Sterile water/saline, 500 ml","Sterile water/saline, 500 ml",37,,,,A,,,,2049,,,,,,,,,,,,,,,,,D,,,,,,,D1F,1,L,P,,,"  0",20040101,20040101,,N
A4218,0010,3,"Sterile saline or water, metered dose dispenser, 10 ml","Sterile saline or water",51,,,,A,,,,,,,,,,,,,,,,,,,,,D,,,,,,0127,O1E,1,L,P,,,"  0",20060101,20060101,,N
A4220,0010,3,"Refill kit for implantable infusion pump","Infusion pump refill kit",57,,,,A,60-14,,,,,,,,,,,,,,,,,,,,D,,,,,,0050,D1A,P,,,,,"  0",19940101,19980303,,N
A4221,0010,3,"Supplies for maintenance of non-insulin drug infusion catheter, per week (list drugs  separately)","Supp non-insulin inf cath/wk",34,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,P,,,,,"  0",19970101,20170101,,N
A4222,0010,3,"Infusion supplies for external drug infusion pump, per cassette or bag (list drugs separately)","Infusion supplies with pump",34,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,P,,,,,"  0",19970101,20050101,,N
A4223,0010,3,"Infusion supplies not used with external infusion pump, per cassette or bag (list drugs separately)","Infusion supplies w/o pump",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,P,,,,,"  0",20050101,20070101,,N
A4224,0010,3,"Supplies for maintenance of insulin infusion catheter, per week","Supply insulin inf cath/wk",34,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,P,,,,,"  0",20170101,20170101,,N
A4225,0010,3,"Supplies for external insulin infusion pump, syringe type cartridge, sterile, each","Sup/ext insulin inf pump syr",34,,,,A,,,,60-14,,,,,,,,,,,,,,,,,D,,,,,,,D1E,P,,,,,"  0",20170101,20170101,,N
A4226,0010,3,"Supplies for maintenance of insulin infusion pump with dosage rate adjustment using therapeutic continuous glucose sensing, per week","Weekly supply maint cgs pump",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,Z2,9,,,,,"  0",20200101,20200915,,N
A4230,0010,3,"Infusion set for external insulin pump, non needle cannula type","Infus insulin pump non needl",34,,,,A,60-14,,,,,,,,,,,,,,,,,,,,D,,,,,,,D1E,P,,,,,"  0",19960101,20000101,,N
A4231,0010,3,"Infusion set for external insulin pump, needle type","Infusion insulin pump needle",34,,,,A,60-14,,,,,,,,,,,,,,,,,,,,D,,,,,,,D1E,P,,,,,"  0",19960101,20000101,,N
A4232,0010,3,"Syringe with needle for external insulin pump, sterile, 3 cc","Syringe w/needle insulin 3cc",00,,,,9,60-14,,,,,,,,,,,,,,,,,,,,I,,,,,,,D1E,P,,,,,"  0",19960101,20030401,,N
A4233,0010,3,"Replacement battery, alkaline (other than j cell), for use with medically necessary home blood glucose monitor owned by patient, each","Alkalin batt for glucose mon",32,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,P,,,,,"  0",20060101,20160101,,N
A4234,0010,3,"Replacement battery, alkaline, j cell, for use with medically necessary home blood glucose monitor owned by patient, each","J-cell batt for glucose mon",32,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,P,,,,,"  0",20060101,20160101,,N
A4235,0010,3,"Replacement battery, lithium, for use with medically necessary home blood glucose monitor owned by patient, each","Lithium batt for glucose mon",32,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,P,,,,,"  0",20060101,20160101,,N
A4236,0010,3,"Replacement battery, silver oxide, for use with medically necessary home blood glucose monitor owned by patient, each","Silvr oxide batt glucose mon",32,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,P,,,,,"  0",20060101,20160101,,N
A4238,0010,3,"Supply allowance for adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service","Adju cgm supply allowance",34,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,9,,,,,"  0",20220401,20230101,,C
A4239,0010,3,"Supply allowance for non-adjunctive, non-implanted continuous glucose monitor (cgm), includes all supplies and accessories, 1 month supply = 1 unit of service","Non-adju cgm supply allow",34,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,9,,,,,"  0",20230101,20230101,,A
A4244,0010,3,"Alcohol or peroxide, per pint","Alcohol or peroxide per pint",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,L,S,,,,"  0",19850101,20070101,,N
A4245,0010,3,"Alcohol wipes, per box","Alcohol wipes per box",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,L,S,,,,"  0",19850101,20070101,,N
A4246,0010,3,"Betadine or phisohex solution, per pint","Betadine/phisohex solution",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,L,S,,,,"  0",19850101,20070101,,N
A4247,0010,3,"Betadine or iodine swabs/wipes, per box","Betadine/iodine swabs/wipes",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,L,S,,,,"  0",19850101,20070101,,N
A4248,0010,3,"Chlorhexidine containing antiseptic, 1 ml","Chlorhexidine antisept",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P9B,L,,,,,"  0",20040101,20150101,,N
A4250,0010,3,"Urine test or reagent strips or tablets (100 tablets or strips)","Urine reagent strips/tablets",00,,,,9,,,,2100,,,,,,,,,,,,,,,,,M,,,,,,,T1E,9,,,,,"  0",19900101,19970101,,N
A4252,0010,3,"Blood ketone test or reagent strip, each","Blood ketone test or strip",00,,,,9,,,,,,,1861(n),,,,,,,,,,,,,,S,,,,,,,D1E,P,,,,,"  0",20080101,20080101,,N
A4253,0010,3,"Blood glucose test or reagent strips for home blood glucose monitor, per 50 strips","Blood glucose/reagent strips",32,,,,A,60-11,,,,,,,,,,,,,,,,,,,,D,,,,,,,D1E,P,,,,,"  0",19860101,19980701,,N
A4255,0010,3,"Platforms for home blood glucose monitor, 50 per box","Glucose monitor platforms",34,,,,A,60-11,,,,,,,,,,,,,,,,,,,,D,,,,,,,D1E,P,,,,,"  0",19970101,20020101,,N
A4256,0010,3,"Normal, low and high calibrator solution / chips","Calibrator solution/chips",34,,,,A,60-11,,,,,,,,,,,,,,,,,,,,D,,,,,,,D1E,P,,,,,"  0",19850101,20020101,,N
A4257,0010,3,"Replacement lens shield cartridge for use with laser skin piercing device, each","Replace lensshield cartridge",34,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1E,P,,,,,"  0",20020101,20020101,,N
A4258,0010,3,"Spring-powered device for lancet, each","Lancet device each",34,,,,A,60-11,,,,,,,,,,,,,,,,,,,,D,,,,,,,D1E,P,,,,,"  0",19960101,20020101,,N
A4259,0010,3,"Lancets, per box of 100","Lancets per box",34,,,,A,60-11,,,,,,,,,,,,,,,,,,,,D,,,,,,,D1E,P,,,,,"  0",19850101,19960101,,N
A4261,0010,3,"Cervical cap for contraceptive use","Cervical cap contraceptive",00,,,,9,,,,,,,1862a1,,,,,,,,,,,,,,S,,,,,,,Z2,9,,,,,"  0",19990101,19990101,,N
A4262,0010,3,"Temporary, absorbable lacrimal duct implant, each","Temporary tear duct plug",00,,,,9,,,,,,,,,,,,,,,,,,,,,D,,,,,,0052,D1A,9,,,,,"  0",19940101,19980101,,N
A4263,0010,3,"Permanent, long term, non-dissolvable lacrimal duct implant, each","Permanent tear duct plug",11,,,,A,,,,15030,,,,,,,,,,,,,,,,,D,,,,,,,Y1,9,,,,,"  0",19940101,19980101,,N
A4264,0010,3,"Permanent implantable contraceptive intratubal occlusion device(s) and delivery system","Intratubal occlusion device",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,Z2,9,,,,,"  0",20100101,20100101,,N
A4265,0010,3,"Paraffin, per pound",Paraffin,34,,,,A,60-9,,,,,,,,,,,,,,,,,,,,D,,,,,,,D1E,9,,,,,"  0",19860101,20020101,,N
A4266,0010,3,"Diaphragm for contraceptive use",Diaphragm,00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,Z2,9,,,,,"  0",20030101,20030101,,N
A4267,0010,3,"Contraceptive supply, condom, male, each","Male condom",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,Z2,9,,,,,"  0",20030101,20030101,,N
A4268,0010,3,"Contraceptive supply, condom, female, each","Female condom",00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,Z2,9,,,,,"  0",20030101,20030101,,N
A4269,0010,3,"Contraceptive supply, spermicide (e.g., foam, gel), each",Spermicide,00,,,,9,,,,,,,,,,,,,,,,,,,,,I,,,,,,,Z2,9,,,,,"  0",20030101,20030101,,N
A4270,0010,3,"Disposable endoscope sheath, each","Disposable endoscope sheath",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,P8D,9,,,,,"  0",19940101,19960101,,N
A4280,0010,3,"Adhesive skin support attachment for use with external breast prosthesis, each","Brst prsths adhsv attchmnt",38,,,,A,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1F,P,,,,,"  0",20000101,20000101,,N
A4281,0010,3,"Tubing for breast pump, replacement","Replacement breastpump tube",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,9,,,,,"  0",20030101,20070101,,N
A4282,0010,3,"Adapter for breast pump, replacement","Replacement breastpump adpt",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,9,,,,,"  0",20030101,20070101,,N
A4283,0010,3,"Cap for breast pump bottle, replacement","Replacement breastpump cap",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,9,,,,,"  0",20030101,20070101,,N
A4284,0010,3,"Breast shield and splash protector for use with breast pump, replacement","Replcmnt breast pump shield",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,9,,,,,"  0",20030101,20070101,,N
A4285,0010,3,"Polycarbonate bottle for use with breast pump, replacement","Replcmnt breast pump bottle",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,9,,,,,"  0",20030101,20070101,,N
A4286,0010,3,"Locking ring for breast pump, replacement","Replcmnt breastpump lok ring",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,9,,,,,"  0",20030101,20070101,,N
A4290,0010,3,"Sacral nerve stimulation test lead, each","Sacral nerve stim test lead",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,Z2,9,,,,,"  0",20010101,20020101,,N
A4300,0010,3,"Implantable access catheter, (e.g., venous, arterial, epidural subarachnoid, or peritoneal, etc.) external access","Cath impl vasc access portal",11,,,,A,,,,2130,,,,,,,,,,,,,,,,,D,,,,,,,Y1,S,,,,,"  0",19860101,20020101,,N
A4301,0010,3,"Implantable access total catheter, port/reservoir (e.g., venous, arterial, epidural, subarachnoid, peritoneal, etc.)","Implantable access syst perc",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,S,,,,,"  0",19960101,20030101,,N
A4305,0010,3,"Disposable drug delivery system, flow rate of 50 ml or greater per hour","Drug delivery system >=50 ml",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,9,,,,,"  0",19930101,20060101,,N
A4306,0010,3,"Disposable drug delivery system, flow rate of less than 50 ml per hour","Drug delivery system <=50 ml",00,,,,9,,,,,,,,,,,,,,,,,,,,,C,,,,,,,D1A,9,,,,,"  0",19930101,20070101,,N
A4310,0010,3,"Insertion tray without drainage bag and without catheter (accessories only)","Insert tray w/o bag/cath",37,,,,A,,,,2130,,,,,,,,,,,,,,,,,D,,,,,,,D1F,P,,,,,"  0",19900101,19900101,,N
